iter	Passed	Remaining
481	612	658
482	614	657
483	615	656
484	616	654
485	617	652
486	618	651
487	619	649
488	620	647
489	621	646
490	621	644
491	623	643
492	624	641
493	625	640
494	625	638
495	627	637
496	628	635
497	629	634
498	630	633
499	631	631
500	632	629
501	633	628
502	634	626
503	635	625
504	636	623
505	637	622
506	638	620
507	639	618
508	639	617
509	640	615
510	641	614
511	642	612
512	644	612
513	645	610
514	646	608
515	647	607
516	648	605
517	649	604
518	650	602
519	651	601
520	652	599
521	653	598
522	654	596
523	655	595
524	656	593
525	657	592
526	658	591
527	659	589
528	660	588
529	661	586
530	662	585
531	663	583
532	664	582
533	665	580
534	666	579
535	667	577
536	668	576
537	669	574
538	670	573
539	671	572
540	672	570
541	674	569
542	675	568
543	676	566
544	677	565
545	678	563
546	678	562
547	679	560
548	680	559
549	681	557
550	682	556
551	683	555
552	684	553
553	685	552
554	686	550
555	687	549
556	689	548
557	690	547
558	691	545
559	692	544
560	693	543
561	695	541
562	696	540
563	697	539
564	698	537
565	699	536
566	700	535
567	701	533
568	702	532
569	705	531
570	706	530
571	707	529
572	708	527
573	709	526
574	710	524
575	711	523
576	712	522
577	713	520
578	714	519
579	715	518
580	718	518
581	720	517
582	721	516
583	722	514
584	723	513
585	724	511
586	725	510
587	726	508
588	727	507
589	728	506
590	729	504
591	730	503
592	731	502
593	733	501
594	735	500
595	736	499
596	737	498
597	739	496
598	740	495
599	741	494
600	742	492
601	743	491
602	744	489
603	745	488
604	746	487
605	747	486
606	749	485
607	750	484
608	751	482
609	752	481
610	753	479
611	754	478
612	755	477
613	756	475
614	757	474
615	758	473
616	759	471
617	761	470
618	762	469
619	763	467
620	765	467
621	766	466
622	767	464
623	768	463
624	769	461
625	770	460
626	771	459
627	772	457
628	773	456
629	775	455
630	776	453
631	777	452
632	778	451
633	781	451
634	782	449
635	783	448
636	784	447
637	785	445
638	787	444
639	788	443
640	789	442
641	793	442
642	794	440
643	795	439
644	796	438
645	797	436
646	798	435
647	799	434
648	800	432
649	801	431
650	802	430
651	803	428
652	804	427
653	807	426
654	808	425
655	809	424
656	810	423
657	811	421
658	812	420
659	813	418
660	814	417
661	815	416
662	816	414
663	817	413
664	818	412
665	819	411
666	821	410
667	822	408
668	823	407
669	824	406
670	825	404
671	826	403
672	827	402
673	828	400
674	829	399
675	830	397
676	831	396
677	832	395
678	833	393
679	834	392
680	835	391
681	836	390
682	837	388
683	838	387
684	839	386
685	840	384
686	841	383
687	842	382
688	843	380
689	844	379
690	845	378
691	846	376
692	847	375
693	848	374
694	850	373
695	850	371
696	851	370
697	852	369
698	853	367
699	854	366
700	855	365
701	856	363
702	857	362
703	858	361
704	859	359
705	860	358
706	861	357
707	862	355
708	863	354
709	864	353
710	865	351
711	866	350
712	867	349
713	868	347
714	869	346
715	870	345
716	871	344
717	872	342
718	873	341
719	874	340
720	875	338
721	876	337
722	877	336
723	878	335
724	879	333
725	880	332
726	881	331
727	882	329
728	883	328
729	884	327
730	885	325
731	886	324
732	887	323
733	888	321
734	889	320
735	890	319
736	891	318
737	892	316
738	893	315
739	894	314
740	895	313
741	896	311
742	897	310
743	898	309
744	899	307
745	900	306
746	901	305
747	902	304
748	903	302
749	904	301
750	905	300
751	906	299
752	921	302
753	924	301
754	926	300
755	928	299
756	929	298
757	931	297
758	933	296
759	934	295
760	935	293
761	937	292
762	938	291
763	940	290
764	941	289
765	942	287
766	943	286
767	944	285
768	945	283
769	946	282
770	947	281
771	948	280
772	949	278
773	949	277
774	950	276
775	951	274
776	952	273
777	953	272
778	954	270
779	955	269
780	956	268
781	957	266
782	957	265
783	958	264
784	959	262
785	960	261
786	960	260
787	961	258
788	962	257
789	963	256
790	963	254
791	964	253
792	965	252
793	966	250
794	967	249
795	968	248
796	969	246
797	969	245
798	970	244
799	971	242
800	972	241
801	973	240
802	974	239
803	975	237
804	975	236
805	976	235
806	977	233
807	978	232
808	979	231
809	980	230
810	981	228
811	982	227
812	983	226
813	984	224
814	985	223
815	986	222
816	987	221
817	988	219
818	989	218
819	990	217
820	991	216
821	992	214
822	993	213
823	994	212
824	995	211
825	997	210
826	998	208
827	999	207
828	1000	206
829	1001	205
830	1002	203
831	1003	202
832	1005	201
833	1006	200
834	1007	199
835	1008	197
836	1010	196
837	1011	195
838	1012	194
839	1014	193
840	1015	191
841	1016	190
842	1017	189
843	1018	188
844	1019	186
845	1020	185
846	1021	184
847	1022	183
848	1023	181
849	1024	180
850	1025	179
851	1026	178
852	1027	177
853	1028	175
854	1029	174
855	1030	173
856	1031	172
857	1032	170
858	1033	169
859	1034	168
860	1035	167
861	1036	166
862	1037	164
863	1038	163
864	1040	162
865	1041	161
866	1042	159
867	1043	158
868	1044	157
869	1045	156
870	1046	154
871	1047	153
872	1048	152
873	1049	151
874	1050	150
875	1051	148
876	1052	147
877	1053	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1058	140
883	1059	138
884	1060	137
885	1061	136
886	1062	135
887	1063	134
888	1064	132
889	1065	131
890	1066	130
891	1067	129
892	1068	127
893	1069	126
894	1069	125
895	1071	124
896	1072	123
897	1073	121
898	1074	120
899	1075	119
900	1076	118
901	1077	117
902	1078	115
903	1079	114
904	1080	113
905	1081	112
906	1082	110
907	1083	109
908	1084	108
909	1085	107
910	1086	106
911	1087	104
912	1088	103
913	1089	102
914	1090	101
915	1091	100
916	1092	98
917	1093	97
918	1094	96
919	1095	95
920	1096	94
921	1097	92
922	1098	91
923	1098	90
924	1099	89
925	1101	87
926	1102	86
927	1103	85
928	1104	84
929	1105	83
930	1106	81
931	1107	80
932	1108	79
933	1109	78
934	1109	77
935	1111	75
936	1112	74
937	1113	73
938	1114	72
939	1115	71
940	1116	69
941	1117	68
942	1118	67
943	1119	66
944	1120	65
945	1121	64
946	1122	62
947	1123	61
948	1124	60
949	1125	59
950	1126	58
951	1127	56
952	1128	55
953	1129	54
954	1130	53
955	1131	52
956	1132	50
957	1133	49
958	1134	48
959	1135	47
960	1136	46
961	1137	44
962	1138	43
963	1139	42
964	1139	41
965	1140	40
966	1141	38
967	1142	37
968	1144	36
969	1146	35
970	1147	34
971	1148	33
972	1149	31
973	1150	30
974	1151	29
975	1152	28
976	1153	27
977	1154	25
978	1155	24
979	1156	23
980	1157	22
981	1158	21
982	1159	20
983	1160	18
984	1161	17
985	1162	16
986	1163	15
987	1164	14
988	1165	12
989	1166	11
990	1167	10
991	1168	9
992	1169	8
993	1170	7
994	1171	5
995	1172	4
996	1173	3
997	1174	2
998	1176	1
999	1177	0
